,시도시군구,불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢),농업면적,농가인구(2023),시도구분,연평균강수량,해발고도,연평균기온
1,종로구,41.46,9.95,23.99,0,13667,서울특별시,116.49,85.6,13.45
2,중구,77.21,7.71,9.99,0,13667,서울특별시,116.49,85.6,13.45
3,용산구,48.26,10.57,21.89,0,13667,서울특별시,116.49,85.6,13.45
4,성동구,64.81,10.9,16.82,0,13667,서울특별시,116.49,85.6,13.45
5,광진구,63.49,10.82,17.05,0,13667,서울특별시,116.49,85.6,13.45
6,동대문구,76.1,10.87,14.28,0,13667,서울특별시,116.49,85.6,13.45
7,중랑구,61.16,11.34,18.54,0,13667,서울특별시,116.49,85.6,13.45
8,성북구,53.87,13.24,24.58,0,13667,서울특별시,116.49,85.6,13.45
9,강북구,37.88,8.95,23.64,0,13667,서울특별시,116.49,85.6,13.45
10,도봉구,43.14,8.93,20.71,0,13667,서울특별시,116.49,85.6,13.45
11,노원구,39.5,14.06,35.59,0,13667,서울특별시,116.49,85.6,13.45
12,은평구,43.16,12.86,29.8,0,13667,서울특별시,116.49,85.6,13.45
13,서대문구,58.39,10.33,17.69,0,13667,서울특별시,116.49,85.6,13.45
14,마포구,57.2,13.65,23.86,0,13667,서울특별시,116.49,85.6,13.45
15,양천구,70.05,12.23,17.46,0,13667,서울특별시,116.49,85.6,13.45
16,강서구,46.28,19.19,41.46,0,13667,서울특별시,116.49,85.6,13.45
17,구로구,64.84,13.03,20.1,0,13667,서울특별시,116.49,85.6,13.45
18,금천구,66.27,8.63,13.02,0,13667,서울특별시,116.49,85.6,13.45
19,영등포구,61.03,14.97,24.52,0,13667,서울특별시,116.49,85.6,13.45
20,동작구,64.34,10.54,16.38,0,13667,서울특별시,116.49,85.6,13.45
21,관악구,42.5,12.57,29.58,0,13667,서울특별시,116.49,85.6,13.45
22,서초구,38.96,18.28,46.92,0,13667,서울특별시,116.49,85.6,13.45
23,강남구,56.61,22.36,39.49,0,13667,서울특별시,116.49,85.6,13.45
24,송파구,61.83,20.93,33.85,0,13667,서울특별시,116.49,85.6,13.45
25,강동구,55.18,13.55,24.56,0,13667,서울특별시,116.49,85.6,13.45
27,중구,84.12,2.54,3.02,0,22942,부산광역시,148.26,404.62,15.51
28,서구,41.09,5.82,14.16,0,22942,부산광역시,148.26,404.62,15.51
29,동구,63.06,6.39,10.14,0,22942,부산광역시,148.26,404.62,15.51
30,영도구,48.62,7.12,14.65,0,22942,부산광역시,148.26,404.62,15.51
31,부산진구,47.67,14.2,29.78,0,22942,부산광역시,148.26,404.62,15.51
32,동래구,58.88,9.82,16.68,0,22942,부산광역시,148.26,404.62,15.51
33,남구,52.26,14.25,27.27,0,22942,부산광역시,148.26,404.62,15.51
34,북구,24.15,9.6,39.76,0,22942,부산광역시,148.26,404.62,15.51
35,해운대구,28.99,15.17,52.33,0,22942,부산광역시,148.26,404.62,15.51
36,사하구,39.08,18.56,47.49,0,22942,부산광역시,148.26,404.62,15.51
37,금정구,21.21,13.94,65.72,0,22942,부산광역시,148.26,404.62,15.51
38,강서구,29.39,54.63,185.87,0,22942,부산광역시,148.26,404.62,15.51
39,연제구,62.3,7.57,12.15,0,22942,부산광역시,148.26,404.62,15.51
40,수영구,63.06,6.53,10.35,0,22942,부산광역시,148.26,404.62,15.51
41,사상구,41.47,15.03,36.24,0,22942,부산광역시,148.26,404.62,15.51
42,기장군,12.55,27.6,219.9,0,22942,부산광역시,148.26,404.62,15.51
